25th March 2020|Windsor and Maidenhead|13
25th March 2020|Peterborough|9
25th March 2020|Dudley|51
25th March 2020|Barnet|100
25th March 2020|Tower Hamlets|71
25th March 2020|Kent|96
25th March 2020|Enfield|98
25th March 2020|Stoke-on-Trent|12
25th March 2020|Rochdale|29
25th March 2020|Liverpool|57
25th March 2020|Brighton and Hove|25
25th March 2020|Kirklees|20
25th March 2020|Bolton|21
25th March 2020|Sefton|20
25th March 2020|York|14
25th March 2020|Cheshire West and Chester|18
25th March 2020|Dorset|23
25th March 2020|Hertfordshire|147
25th March 2020|Bournemouth, Christchurch and Poole|15
25th March 2020|Norfolk|45
25th March 2020|Luton|29
25th March 2020|Southampton|28
25th March 2020|Milton Keynes|29
25th March 2020|South Gloucestershire|25
25th March 2020|Wakefield|19
25th March 2020|Solihull|19
25th March 2020|Waltham Forest|63
25th March 2020|Cambridgeshire|41
25th March 2020|Bexley|59
25th March 2020|Wirral|16
25th March 2020|Thurrock|15
25th March 2020|Barnsley|19
25th March 2020|Gateshead|10
25th March 2020|Southend-on-Sea|9
25th March 2020|Hartlepool|3
25th March 2020|Redbridge|67
25th March 2020|Barking and Dagenham|53
25th March 2020|Nottingham|57
25th March 2020|Wigan|14
25th March 2020|Camden|71
25th March 2020|Kingston upon Hull, City of|2
25th March 2020|Darlington|4
25th March 2020|South Tyneside|9
25th March 2020|Brent|192
25th March 2020|Northamptonshire|43
25th March 2020|Lambeth|212
25th March 2020|Kensington and Chelsea|97
25th March 2020|Hounslow|90
25th March 2020|Oldham|42
25th March 2020|Halton|8
25th March 2020|Hammersmith and Fulham|80
25th March 2020|Bristol, City of|41
25th March 2020|Cornwall and Isles of Scilly|37
25th March 2020|Slough|22
25th March 2020|Somerset|22
25th March 2020|Worcestershire|55
25th March 2020|Croydon|163
25th March 2020|Sheffield|174
25th March 2020|Blackburn with Darwen|3
25th March 2020|Merton|98
25th March 2020|County Durham|25
25th March 2020|East Sussex|22
25th March 2020|Newcastle upon Tyne|58
25th March 2020|Leeds|53
25th March 2020|Manchester|45
25th March 2020|Rotherham|20
25th March 2020|Harrow|145
25th March 2020|Kingston upon Thames|37
25th March 2020|Wiltshire|39
25th March 2020|Medway|25
25th March 2020|Northumberland|19
25th March 2020|Havering|47
25th March 2020|Staffordshire|97
25th March 2020|Herefordshire, County of|15
25th March 2020|St. Helens|16
25th March 2020|Trafford|40
25th March 2020|Portsmouth|33
25th March 2020|Essex|88
25th March 2020|Cumbria|145
25th March 2020|Middlesbrough|9
25th March 2020|North Yorkshire|45
25th March 2020|Richmond upon Thames|44
25th March 2020|Telford and Wrekin|12
25th March 2020|Bath and North East Somerset|20
25th March 2020|Nottinghamshire|92
25th March 2020|West Berkshire|16
25th March 2020|Greenwich|97
25th March 2020|Torbay|18
25th March 2020|Oxfordshire|86
25th March 2020|Lewisham|114
25th March 2020|Wokingham|13
25th March 2020|Newham|77
25th March 2020|North East Lincolnshire|3
25th March 2020|Redcar and Cleveland|10
25th March 2020|Hackney and City of London|85
25th March 2020|Warwickshire|59
25th March 2020|Blackpool|8
25th March 2020|Cheshire East|30
25th March 2020|Buckinghamshire|59
25th March 2020|Salford|47
25th March 2020|Sutton|45
25th March 2020|North Somerset|21
25th March 2020|Shropshire|33
25th March 2020|Hillingdon|90
25th March 2020|Wolverhampton|98
25th March 2020|Doncaster|15
25th March 2020|Stockport|45
25th March 2020|Lancashire|78
25th March 2020|Derbyshire|110
25th March 2020|Surrey|117
25th March 2020|Walsall|60
25th March 2020|Bury|23
25th March 2020|North Tyneside|23
25th March 2020|Wandsworth|184
25th March 2020|Knowsley|9
25th March 2020|Birmingham|228
25th March 2020|Bradford|16
25th March 2020|Islington|70
25th March 2020|Southwark|209
25th March 2020|Tameside|35
25th March 2020|Bedford|7
25th March 2020|Hampshire|251
25th March 2020|Westminster|152
25th March 2020|Isle of Wight|3
25th March 2020|Stockton-on-Tees|14
25th March 2020|West Sussex|57
25th March 2020|Reading|9
25th March 2020|Lincolnshire|31
25th March 2020|North Lincolnshire|5
25th March 2020|Warrington|9
25th March 2020|Devon|50
25th March 2020|Haringey|76
25th March 2020|Coventry|25
25th March 2020|Plymouth|21
25th March 2020|Gloucestershire|57
25th March 2020|Derby|40
25th March 2020|East Riding of Yorkshire|19
25th March 2020|Ealing|136
25th March 2020|Leicestershire|80
25th March 2020|Bromley|125
25th March 2020|Sandwell|50
25th March 2020|Calderdale|7
25th March 2020|Central Bedfordshire|24
25th March 2020|Leicester|32
25th March 2020|Bracknell Forest|3
25th March 2020|Suffolk|35
25th March 2020|Sunderland|25
25th March 2020|Swindon|8
